g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	p(5)	p(6)	
10	107	0.0431354	67.4677	198.026	8.26029	57326.9	296.545	439435	8937.34
10	100	0.0443958	68.7975	172.154	9.32464	47213.1	271.743	439876	8025.72
10	97	0.0456897	65.1332	192.9	5.76029	59030.8	298.049	450894	8156.46
10	95	0.0462771	65.8563	192.706	8.19717	53340.9	300.162	421344	8043.82
10	93	0.0467578	72.9213	193.632	6.7779	42647.7	244.464	311681	5931.45
10	114	0.0474311	64.5811	193.234	5.74934	58455.1	298.404	418935	8013.91
10	111	0.0478576	67.691	193.56	5.7911	58467.1	300.185	432151	8800.34
10	119	0.0491142	68.9389	170.955	8.27673	53760.9	300.251	418316	7972
11	52	0.028346	73.7778	342.93	5.38649	30430.5	171.836	219015	3874.53
11	82	0.0428419	67.0333	196.677	8.2052	56934.3	298.745	423969	9024.34
11	107	0.0431354	67.4677	198.026	8.26029	57326.9	296.545	439435	8937.34
11	100	0.0443958	68.7975	172.154	9.32464	47213.1	271.743	439876	8025.72
11	123	0.044431	72.9016	171.673	6.81445	47229	269.874	440685	5919.5
11	130	0.0450068	66.8038	169.815	8.21547	56890.4	297.875	439518	7956.39
11	126	0.0456026	67.1438	190.976	5.76884	58800.1	296.058	430099	8098.39
11	97	0.0456897	65.1332	192.9	5.76029	59030.8	298.049	450894	8156.46
11	95	0.0462771	65.8563	192.706	8.19717	53340.9	300.162	421344	8043.82
11	93	0.0467578	72.9213	193.632	6.7779	42647.7	244.464	311681	5931.45
12	52	0.0264961	66.4	377.223	5.41278	30720.4	173.491	197114	3487.08
12	133	0.03924	73.1624	345.881	5.43815	57414.7	295.679	219946	8998.29
12	82	0.0428419	67.0333	196.677	8.2052	56934.3	298.745	423969	9024.34
12	107	0.0431354	67.4677	198.026	8.26029	57326.9	296.545	439435	8937.34
12	100	0.0443958	68.7975	172.154	9.32464	47213.1	271.743	439876	8025.72
12	123	0.044431	72.9016	171.673	6.81445	47229	269.874	440685	5919.5
12	130	0.0450068	66.8038	169.815	8.21547	56890.4	297.875	439518	7956.39
12	126	0.0456026	67.1438	190.976	5.76884	58800.1	296.058	430099	8098.39
12	97	0.0456897	65.1332	192.9	5.76029	59030.8	298.049	450894	8156.46
12	95	0.0462771	65.8563	192.706	8.19717	53340.9	300.162	421344	8043.82
13	52	0.0259078	59.76	398.124	5.09739	29707.7	169.038	216825	3347.35
13	133	0.03924	73.1624	345.881	5.43815	57414.7	295.679	219946	8998.29
13	147	0.0424682	67.288	199.415	8.25177	56461	294.334	437362	8899.44
13	82	0.0428419	67.0333	196.677	8.2052	56934.3	298.745	423969	9024.34
13	107	0.0431354	67.4677	198.026	8.26029	57326.9	296.545	439435	8937.34
13	100	0.0443958	68.7975	172.154	9.32464	47213.1	271.743	439876	8025.72
13	123	0.044431	72.9016	171.673	6.81445	47229	269.874	440685	5919.5
13	130	0.0450068	66.8038	169.815	8.21547	56890.4	297.875	439518	7956.39
13	144	0.0454342	66.23	194.388	8.1682	53083.2	297.858	418712	7981.98
13	126	0.0456026	67.1438	190.976	5.76884	58800.1	296.058	430099	8098.39
14	52	0.0258986	62.859	416.004	4.78863	30382.3	172.426	195142	3012.61
14	133	0.03924	73.1624	345.881	5.43815	57414.7	295.679	219946	8998.29
14	147	0.0424682	67.288	199.415	8.25177	56461	294.334	437362	8899.44
14	153	0.0425659	66.8723	197.455	8.16519	56129.5	296.744	421255	8944.42
14	82	0.0428419	67.0333	196.677	8.2052	56934.3	298.745	423969	9024.34
14	107	0.0431354	67.4677	198.026	8.26029	57326.9	296.545	439435	8937.34
14	152	0.0442693	66.819	197.182	8.17151	53549	296.162	441018	8968.51
14	100	0.0443958	68.7975	172.154	9.32464	47213.1	271.743	439876	8025.72
14	123	0.044431	72.9016	171.673	6.81445	47229	269.874	440685	5919.5
14	130	0.0450068	66.8038	169.815	8.21547	56890.4	297.875	439518	7956.39
15	52	0.0258986	62.859	416.004	4.78863	30382.3	172.426	195142	3012.61
15	133	0.03924	73.1624	345.881	5.43815	57414.7	295.679	219946	8998.29
15	162	0.0404622	67.1002	418.234	8.14497	30416.8	173.4	194874	8995.39
15	147	0.0424682	67.288	199.415	8.25177	56461	294.334	437362	8899.44
15	153	0.0425659	66.8723	197.455	8.16519	56129.5	296.744	421255	8944.42
15	168	0.0427263	67.2744	200.259	8.13139	56575.3	295.654	444694	8957.92
15	82	0.0428419	67.0333	196.677	8.2052	56934.3	298.745	423969	9024.34
15	107	0.0431354	67.4677	198.026	8.26029	57326.9	296.545	439435	8937.34
15	165	0.0433508	67.3236	198.678	8.31228	54053.8	296.023	441794	8922.83
15	152	0.0442693	66.819	197.182	8.17151	53549	296.162	441018	8968.51
16	52	0.0258986	62.859	416.004	4.78863	30382.3	172.426	195142	3012.61
16	133	0.03924	73.1624	345.881	5.43815	57414.7	295.679	219946	8998.29
16	162	0.0404622	67.1002	418.234	8.14497	30416.8	173.4	194874	8995.39
16	147	0.0424682	67.288	199.415	8.25177	56461	294.334	437362	8899.44
16	153	0.0425659	66.8723	197.455	8.16519	56129.5	296.744	421255	8944.42
16	168	0.0427263	67.2744	200.259	8.13139	56575.3	295.654	444694	8957.92
16	82	0.0428419	67.0333	196.677	8.2052	56934.3	298.745	423969	9024.34
16	107	0.0431354	67.4677	198.026	8.26029	57326.9	296.545	439435	8937.34
16	173	0.0433476	66.6269	198.099	8.21635	53981.1	295.363	447635	8951.74
16	165	0.0433508	67.3236	198.678	8.31228	54053.8	296.023	441794	8922.83
17	52	0.0258986	62.859	416.004	4.78863	30382.3	172.426	195142	3012.61
17	133	0.03924	73.1624	345.881	5.43815	57414.7	295.679	219946	8998.29
17	162	0.0404622	67.1002	418.234	8.14497	30416.8	173.4	194874	8995.39
17	182	0.042384	66.4993	201.927	8.24445	56436.8	297.36	420232	8935.74
17	147	0.0424682	67.288	199.415	8.25177	56461	294.334	437362	8899.44
17	153	0.0425659	66.8723	197.455	8.16519	56129.5	296.744	421255	8944.42
17	190	0.0425952	67.866	200.275	8.27864	54364	294.491	420090	9065.62
17	168	0.0427263	67.2744	200.259	8.13139	56575.3	295.654	444694	8957.92
17	184	0.0428285	67.1489	201.371	8.20895	55981	298.301	421664	8874.07
17	82	0.0428419	67.0333	196.677	8.2052	56934.3	298.745	423969	9024.34
18	52	0.0258986	62.859	416.004	4.78863	30382.3	172.426	195142	3012.61
18	191	0.026793	67.0642	343.719	5.43668	30705.5	173.86	613885	8935.09
18	196	0.0380677	66.6351	198.375	8.27452	30594.1	174.097	195668	2991.77
18	133	0.03924	73.1624	345.881	5.43815	57414.7	295.679	219946	8998.29
18	162	0.0404622	67.1002	418.234	8.14497	30416.8	173.4	194874	8995.39
18	182	0.042384	66.4993	201.927	8.24445	56436.8	297.36	420232	8935.74
18	147	0.0424682	67.288	199.415	8.25177	56461	294.334	437362	8899.44
18	153	0.0425659	66.8723	197.455	8.16519	56129.5	296.744	421255	8944.42
18	194	0.0425784	67.6149	198.114	8.15012	56463.7	297.017	421822	8951
18	198	0.0425869	67.2833	202.165	8.2829	56985.4	296.492	423266	8929.17
19	52	0.0258986	62.859	416.004	4.78863	30382.3	172.426	195142	3012.61
19	191	0.026793	67.0642	343.719	5.43668	30705.5	173.86	613885	8935.09
19	196	0.0380677	66.6351	198.375	8.27452	30594.1	174.097	195668	2991.77
19	133	0.03924	73.1624	345.881	5.43815	57414.7	295.679	219946	8998.29
19	202	0.0403702	66.031	421.538	8.0897	30436.8	173.037	195102	8920.31
19	162	0.0404622	67.1002	418.234	8.14497	30416.8	173.4	194874	8995.39
19	206	0.0422385	66.63	203.158	8.29321	56607.3	296.901	417686	8972.96
19	182	0.042384	66.4993	201.927	8.24445	56436.8	297.36	420232	8935.74
19	147	0.0424682	67.288	199.415	8.25177	56461	294.334	437362	8899.44
19	203	0.0425395	66.6997	197.689	8.34323	57065.8	297.84	423633	9078.82
20	52	0.0258986	62.859	416.004	4.78863	30382.3	172.426	195142	3012.61
20	191	0.026793	67.0642	343.719	5.43668	30705.5	173.86	613885	8935.09
20	196	0.0380677	66.6351	198.375	8.27452	30594.1	174.097	195668	2991.77
20	215	0.0387717	65.8841	421.178	8.07043	30162.4	174.571	195599	9032.36
20	133	0.03924	73.1624	345.881	5.43815	57414.7	295.679	219946	8998.29
20	202	0.0403702	66.031	421.538	8.0897	30436.8	173.037	195102	8920.31
20	162	0.0404622	67.1002	418.234	8.14497	30416.8	173.4	194874	8995.39
20	206	0.0422385	66.63	203.158	8.29321	56607.3	296.901	417686	8972.96
20	219	0.042314	66.668	201.547	8.318	57109.8	297.074	420105	9060.49
20	182	0.042384	66.4993	201.927	8.24445	56436.8	297.36	420232	8935.74
